datetime,open,high,low,close,volume,return
20260220,258.97,264.75,258.16,264.58,207070,0.015350372246526911
20260223,263.49,269.43,263.38,266.18,202783,0.0060473202812005855
20260224,267.99,274.89,267.71,272.14,233277,0.022390863325569166
20260225,271.73,274.94,271.05,274.23,155608,0.007679870654810239
20260226,274.88,276.11,270.79,272.95,152314,-0.00466761477591815
20260227,272.77,272.81,262.89,264.18,262359,-0.03213042681809852
20260302,262.46,266.53,260.2,264.72,182875,0.002044060867590458
20260303,263.48,265.56,260.13,263.75,183252,-0.0036642490178302456
20260304,264.7,266.15,261.42,262.52,184964,-0.004663507109004761
20260305,260.79,261.56,257.25,260.29,246310,-0.00849459088831317
20260306,258.63,258.77,254.37,257.46,169120,-0.010872488378347422
20260309,255.6,261.15,253.68,259.88,181838,0.009399518371785875
20260310,257.65,262.48,256.95,260.83,146007,0.003655533323072113
20260311,261.11,262.13,259.55,260.81,114767,-7.66782962081658e-05
20260312,258.66,258.95,254.18,255.76,191259,-0.01936275449560987
20260313,255.4,256.33,249.52,250.12,199787,-0.02205192367844855
20260316,252.1,253.89,249.93,252.82,165549,0.010794818487126046
20260317,253.04,255.13,252.18,254.23,121849,0.005577090420061603
20260318,252.72,254.94,249.0,249.94,149057,-0.016874483735200396
20260319,249.4,251.83,247.3,248.96,172885,-0.00392094102584617
20260320,247.64,249.2,246.0,247.99,255052,-0.003896208226221054
20260323,253.93,254.53,250.28,251.49,184102,0.014113472317432096
20260324,250.35,254.83,249.55,251.64,148933,0.0005964451866873333
20260325,254.09,255.0,251.6,252.62,128677,0.003894452392306569
20260326,252.22,257.0,250.77,252.89,219706,0.0010687989866200454
20260327,253.9,255.5,248.07,248.8,244011,-0.016173039661512845
20260330,250.05,250.82,245.51,246.63,170933,-0.008721864951768521
20260331,247.89,255.48,247.1,253.79,216252,0.02903134249685757
20260401,253.9,256.17,253.33,255.63,180177,0.0072500886559754285
20260402,254.2,256.13,250.65,255.92,133740,0.0011344521378555683
20260406,256.51,262.16,256.46,258.86,153859,0.01148796498905913
20260407,256.07,256.2,245.7,253.5,372637,-0.020706173221046176
20260408,258.4,259.75,256.53,258.9,200914,0.02130177514792897
20260409,259.0,261.12,256.07,260.49,136022,0.006141367323291069
